Data Set 1:Time(min),Data Set 1:Temperature(°C)
0.000000,61.6
0.033333,61.6
0.066667,61.6
0.100000,61.6
0.133333,61.6
0.166667,61.5
0.200000,61.5
0.233333,61.5
0.266667,61.5
0.300000,61.5
0.333333,61.4
0.366667,61.4
0.400000,61.4
0.433333,61.4
0.466667,61.4
0.500000,61.4
0.533333,61.4
0.566667,61.3
0.600000,61.3
0.633333,61.3
0.666667,61.3
0.700000,61.3
0.733333,61.3
0.766667,61.2
0.800000,61.2
0.833333,61.2
0.866667,61.2
0.900000,61.2
0.933333,61.1
0.966667,61.1
1.000000,61.1
1.033333,61.1
1.066667,61.1
1.100000,61.0
1.133333,61.0
1.166667,61.0
1.200000,61.0
1.233333,61.0
1.266667,61.0
1.300000,60.9
1.333333,60.9
1.366667,60.9
1.400000,60.9
1.433333,60.9
1.466667,60.9
1.500000,60.8
1.533333,60.8
1.566667,60.8
1.600000,60.8
1.633333,60.8
1.666667,60.7
1.700000,60.7
1.733333,60.7
1.766667,60.7
1.800000,60.7
1.833333,60.7
1.866667,60.6
1.900000,60.6
1.933333,60.6
1.966667,60.6
2.000000,60.6
2.033333,60.6
2.066667,60.5
2.100000,60.5
2.133333,60.5
2.166667,60.5
2.200000,60.5
2.233333,60.5
2.266667,60.4
2.300000,60.4
2.333333,60.4
2.366667,60.4
2.400000,60.4
2.433333,60.4
2.466667,60.3
2.500000,60.3
2.533333,60.3
2.566667,60.3
2.600000,60.3
2.633333,60.3
2.666667,60.2
2.700000,60.2
2.733333,60.2
2.766667,60.2
2.800000,60.2
2.833333,60.2
2.866667,60.2
2.900000,60.1
2.933333,60.1
2.966667,60.1
3.000000,60.1
3.033333,60.1
3.066667,60.0
3.100000,60.0
3.133333,60.0
3.166667,60.0
3.200000,60.0
3.233333,60.0
3.266667,60.0
3.300000,60.0
3.333333,59.9
3.366667,59.9
3.400000,59.9
3.433333,59.9
3.466667,59.9
3.500000,59.9
3.533333,59.9
3.566667,59.8
3.600000,59.8
3.633333,59.8
3.666667,59.8
3.700000,59.8
3.733333,59.8
3.766667,59.7
3.800000,59.7
3.833333,59.7
3.866667,59.7
3.900000,59.7
3.933333,59.7
3.966667,59.7
4.000000,59.7
4.033333,59.6
4.066667,59.6
4.100000,59.6
4.133333,59.6
4.166667,59.6
4.200000,59.6
4.233333,59.5
4.266667,59.5
4.300000,59.5
4.333333,59.5
4.366667,59.5
4.400000,59.5
4.433333,59.5
4.466667,59.4
4.500000,59.4
4.533333,59.4
4.566667,59.4
4.600000,59.4
4.633333,59.4
4.666667,59.3
4.700000,59.3
4.733333,59.3
4.766667,59.3
4.800000,59.3
4.833333,59.3
4.866667,59.3
4.900000,59.3
4.933333,59.2
4.966667,59.2
5.000000,59.2
5.033333,59.2
5.066667,59.2
5.100000,59.2
5.133333,59.1
5.166667,59.1
5.200000,59.1
5.233333,59.1
5.266667,59.1
5.300000,59.1
5.333333,59.1
5.366667,59.1
5.400000,59.1
5.433333,59.0
5.466667,59.0
5.500000,59.0
5.533333,59.0
5.566667,59.0
5.600000,59.0
5.633333,58.9
5.666667,58.9
5.700000,58.9
5.733333,58.9
5.766667,58.9
5.800000,58.9
5.833333,58.9
5.866667,58.8
5.900000,58.8
5.933333,58.8
5.966667,58.8
6.000000,58.8
6.033333,58.8
6.066667,58.8
6.100000,58.8
6.133333,58.7
6.166667,58.7
6.200000,58.7
6.233333,58.7
6.266667,58.7
6.300000,58.7
6.333333,58.7
6.366667,58.7
6.400000,58.6
6.433333,58.6
6.466667,58.6
6.500000,58.6
6.533333,58.6
6.566667,58.6
6.600000,58.6
6.633333,58.6
6.666667,58.5
6.700000,58.5
6.733333,58.5
6.766667,58.5
6.800000,58.5
6.833333,58.5
6.866667,58.5
6.900000,58.4
6.933333,58.4
6.966667,58.4
7.000000,58.4
7.033333,58.4
7.066667,58.4
7.100000,58.4
7.133333,58.4
7.166667,58.4
7.200000,58.3
7.233333,58.3
7.266667,58.3
7.300000,58.3
7.333333,58.3
7.366667,58.3
7.400000,58.3
7.433333,58.3
7.466667,58.2
7.500000,58.2
7.533333,58.2
7.566667,58.2
7.600000,58.2
7.633333,58.2
7.666667,58.2
7.700000,58.2
7.733333,58.1
7.766667,58.1
7.800000,58.1
7.833333,58.1
7.866667,58.1
7.900000,58.1
7.933333,58.1
7.966667,58.1
8.000000,58.1
8.033333,58.0
8.066667,58.0
8.100000,58.0
8.133333,58.0
8.166667,58.0
8.200000,58.0
8.233333,58.0
8.266667,57.9
8.300000,57.9
8.333333,57.9
8.366667,57.9
8.400000,57.9
8.433333,57.9
8.466667,57.9
8.500000,57.9
8.533333,57.8
8.566667,57.8
8.600000,57.8
8.633333,57.8
8.666667,57.8
8.700000,57.8
8.733333,57.8
8.766667,57.8
8.800000,57.8
8.833333,57.8
8.866667,57.8
8.900000,57.7
8.933333,57.7
8.966667,57.7
9.000000,57.7
9.033333,57.7
9.066667,57.7
9.100000,57.6
9.133333,57.6
9.166667,57.6
9.200000,57.6
9.233333,57.6
9.266667,57.6
9.300000,57.6
9.333333,57.6
9.366667,57.6
9.400000,57.6
9.433333,57.5
9.466667,57.5
9.500000,57.5
9.533333,57.5
9.566667,57.5
9.600000,57.5
9.633333,57.5
9.666667,57.5
9.700000,57.5
9.733333,57.4
9.766667,57.4
9.800000,57.4
9.833333,57.4
9.866667,57.4
9.900000,57.4
9.933333,57.4
9.966667,57.4
10.000000,57.4
10.033333,57.3
10.066667,57.4
10.100000,57.3
10.133333,57.3
10.166667,57.3
10.200000,57.3
10.233333,57.3
10.266667,57.3
10.300000,57.3
10.333333,57.2
10.366667,57.2
10.400000,57.2
10.433333,57.2
10.466667,57.2
10.500000,57.2
10.533333,57.2
10.566667,57.2
10.600000,57.2
10.633333,57.2
10.666667,57.1
10.700000,57.1
10.733333,57.1
10.766667,57.1
10.800000,57.1
10.833333,57.1
10.866667,57.1
10.900000,57.1
10.933333,57.1
10.966667,57.0
11.000000,57.0
11.033333,57.0
11.066667,57.0
11.100000,57.0
11.133333,57.0
11.166667,57.0
11.200000,57.0
11.233333,57.0
11.266667,56.9
11.300000,56.9
11.333333,56.9
11.366667,56.9
11.400000,56.9
11.433333,56.9
11.466667,56.9
11.500000,56.9
11.533333,56.9
11.566667,56.8
11.600000,56.8
11.633333,56.8
11.666667,56.8
11.700000,56.8
11.733333,56.8
11.766667,56.8
11.800000,56.8
11.833333,56.8
